Stazioni;Data;T-MIN;T-MAX
Bolsena;29/05/2019;11,2;20,1
Bolsena;30/05/2019;10;19
Bolsena;31/05/2019;11,6;21
Borgo Montello;01/05/2019;6,4;22,3
Borgo Montello;02/05/2019;7,9;22,2
Borgo Montello;03/05/2019;6,9;23,2
Borgo Montello;04/05/2019;10,8;19,4
Borgo Montello;05/05/2019;7,5;17,4
Borgo Montello;06/05/2019;4,8;18,8
Borgo Montello;07/05/2019;4,8;20,1
Borgo Montello;08/05/2019;5;20,5
Borgo Montello;09/05/2019;12,2;23,3
Borgo Montello;10/05/2019;10,2;24,3
Borgo Montello;11/05/2019;8,3;24
Borgo Montello;12/05/2019;11;22,6
Borgo Montello;13/05/2019;8,1;24,3
Borgo Montello;14/05/2019;10,2;22,5
Borgo Montello;15/05/2019;8,7;12,8
Borgo Montello;16/05/2019;7,5;23,1
Borgo Montello;17/05/2019;7,4;23,2
Borgo Montello;18/05/2019;13,2;21,1
Borgo Montello;19/05/2019;10,3;21
Borgo Montello;20/05/2019;9,1;22,5
Borgo Montello;21/05/2019;11,9;23
Borgo Montello;22/05/2019;10;23
Borgo Montello;23/05/2019;9,3;24,8
Borgo Montello;24/05/2019;9,6;24,5
Borgo Montello;25/05/2019;9,5;25,2
Borgo Montello;26/05/2019;14;20,7
Borgo Montello;27/05/2019;14,6;20,4
Borgo Montello;28/05/2019;13,8;24,1
Borgo Montello;29/05/2019;11,2;23
Borgo Montello;30/05/2019;9,8;25,3
Borgo Montello;31/05/2019;11,1;24,8
Borgorose;01/05/2019;3,7;13,8
Borgorose;02/05/2019;0;17,4
Borgorose;03/05/2019;1,9;16,6
Borgorose;04/05/2019;7,6;13
Borgorose;05/05/2019;2,7;11,6
Borgorose;06/05/2019;-0,6;10,1
Borgorose;07/05/2019;-1,5;14,4
Borgorose;08/05/2019;1,1;16,1
Borgorose;09/05/2019;5,9;15,4
Borgorose;10/05/2019;3;16
Borgorose;11/05/2019;3;18,8
Borgorose;12/05/2019;6,5;15,9
Borgorose;13/05/2019;4,6;9,8
Borgorose;14/05/2019;3,6;12,2
Borgorose;15/05/2019;3,4;9,1
Borgorose;16/05/2019;1,4;16,6
Borgorose;17/05/2019;5,7;18,1
Borgorose;18/05/2019;7;15,1
Borgorose;19/05/2019;6,9;12,8
Borgorose;20/05/2019;5,1;12,4
Borgorose;21/05/2019;7,5;12,8
Borgorose;22/05/2019;5,9;18
Borgorose;23/05/2019;7,5;18,2
Borgorose;24/05/2019;5,7;19,1
Borgorose;25/05/2019;6,9;19,7
Borgorose;26/05/2019;10,1;14,6
Borgorose;27/05/2019;10,3;15,3
Borgorose;28/05/2019;9,7;16,2
Borgorose;29/05/2019;8,7;15,9
Borgorose;30/05/2019;8,5;15,5
Borgorose;31/05/2019;6,4;16,9
Bracciano;01/05/2019;10,3;19,7
Bracciano;02/05/2019;8,6;20,9
Bracciano;03/05/2019;10,7;19,8
Bracciano;04/05/2019;9,6;17,4
Bracciano;05/05/2019;6,4;13,3
Bracciano;06/05/2019;5,6;15,3
Bracciano;07/05/2019;8;19,2
Bracciano;08/05/2019;8,7;18,1
Bracciano;09/05/2019;11,6;20,5
Bracciano;10/05/2019;11,4;22
Bracciano;11/05/2019;11,3;21,6
Bracciano;12/05/2019;11,1;17,5
Bracciano;13/05/2019;11,3;17,6
Bracciano;14/05/2019;8,9;19,2
Bracciano;15/05/2019;8,1;9,7
Bracciano;16/05/2019;8,8;20,4
Bracciano;17/05/2019;9,4;20,6
Bracciano;18/05/2019;12,6;19,9
Bracciano;19/05/2019;11,6;17,4
Bracciano;20/05/2019;10,4;17,1
Bracciano;21/05/2019;11,5;17,2
Bracciano;22/05/2019;12,3;20,2
Bracciano;23/05/2019;12,2;23,6
Bracciano;24/05/2019;12;23,4
Bracciano;25/05/2019;12,2;22,9
Bracciano;26/05/2019;12,7;16,3
Bracciano;27/05/2019;13,6;18,8
Bracciano;28/05/2019;14;19,8
Bracciano;29/05/2019;12,8;18,1
Bracciano;30/05/2019;11,8;23,1
Bracciano;31/05/2019;12,6;24,3
Brusciano;01/05/2019;2,2;8,4
Brusciano;02/05/2019;3;12,5
Brusciano;03/05/2019;2,6;13,5
Brusciano;04/05/2019;4,6;9,9
Brusciano;05/05/2019;-0,7;5,6
Brusciano;06/05/2019;-1;4
Brusciano;07/05/2019;-0,4;10,3
Brusciano;08/05/2019;1,5;13,3
Brusciano;09/05/2019;5,1;10,2
Brusciano;10/05/2019;3,7;11,4
Brusciano;11/05/2019;4,8;16,1
Brusciano;12/05/2019;2,5;12,1
Brusciano;13/05/2019;3,2;6,1
Brusciano;14/05/2019;-0,5;9,8
Brusciano;15/05/2019;-0,6;5,1
Brusciano;16/05/2019;1,1;11,9
Brusciano;17/05/2019;3;15,5
Brusciano;18/05/2019;5,8;9,4
Brusciano;19/05/2019;3,9;7,1
Brusciano;20/05/2019;2,4;6,2
Brusciano;21/05/2019;4,3;8,1
Brusciano;22/05/2019;4,4;13,5
Brusciano;23/05/2019;4,8;14,4
Brusciano;24/05/2019;6;14,5
Brusciano;25/05/2019;7,1;17,2
Brusciano;26/05/2019;7,4;11,6
Brusciano;27/05/2019;7,6;12,4
Brusciano;28/05/2019;7,1;12,8
Brusciano;29/05/2019;5,4;11,3
Brusciano;30/05/2019;5,5;12,1
Brusciano;31/05/2019;5,7;10,9
Campaegli;01/05/2019;0,8;8,2
Campaegli;02/05/2019;1;11,9
Campaegli;03/05/2019;1,1;10,4
Campaegli;04/05/2019;4,5;8,3
Campaegli;05/05/2019;-1,1;5,2
Campaegli;06/05/2019;-1,6;5,9
Campaegli;07/05/2019;-1,3;9,9
Campaegli;08/05/2019;-2;10
Campaegli;09/05/2019;4,7;10,9
Campaegli;10/05/2019;3,7;11,9
Campaegli;11/05/2019;2,9;13
Campaegli;12/05/2019;2,4;10,4
Campaegli;13/05/2019;2,7;6,8
Campaegli;14/05/2019;1;10,2
Campaegli;15/05/2019;1,5;5,3
Campaegli;16/05/2019;1,3;9,5
Campaegli;17/05/2019;2,4;12,3
Campaegli;18/05/2019;5,8;7,6
Campaegli;19/05/2019;3,7;6,1
Campaegli;20/05/2019;2,2;6
Campaegli;21/05/2019;4,1;6,8
Campaegli;22/05/2019;2,8;11,2
Campaegli;23/05/2019;2,6;13,3
Campaegli;24/05/2019;6,2;14,7
Campaegli;25/05/2019;4,7;14,8
Campaegli;26/05/2019;7;11,7
Campaegli;27/05/2019;7,4;13,3
Campaegli;28/05/2019;7;12,7
Campaegli;29/05/2019;4,7;7,5
Campaegli;30/05/2019;4,9;11
Campaegli;31/05/2019;4,1;12,2
Campo di Carne;01/05/2019;6,3;19,6
Campo di Carne;02/05/2019;7,3;20
Campo di Carne;03/05/2019;7,4;20,4
Campo di Carne;04/05/2019;11,5;16,9
Campo di Carne;05/05/2019;7,6;16
Campo di Carne;06/05/2019;5,7;17,2
Campo di Carne;07/05/2019;4,3;18,2
Campo di Carne;08/05/2019;5,4;19,2
Campo di Carne;09/05/2019;12,2;20,6
Campo di Carne;10/05/2019;11,9;21
