Stazioni;Data;T-MIN;T-MAX
Campo di Carne;02/03/2019;6,2;18,5
Campo di Carne;03/03/2019;3,8;17,8
Campo di Carne;04/03/2019;3;15,9
Campo di Carne;05/03/2019;5,6;17,3
Campo di Carne;06/03/2019;4,7;17,4
Campo di Carne;07/03/2019;6,9;19,3
Campo di Carne;08/03/2019;9,3;17,8
Campo di Carne;09/03/2019;4,7;16,7
Campo di Carne;10/03/2019;8,7;14,7
Campo di Carne;11/03/2019;5,6;17
Campo di Carne;12/03/2019;2,9;15,3
Campo di Carne;13/03/2019;-0,9;15,6
Campo di Carne;14/03/2019;4,5;17,1
Campo di Carne;15/03/2019;2,1;17,9
Campo di Carne;16/03/2019;8,1;18,9
Campo di Carne;17/03/2019;8,6;17,8
Campo di Carne;18/03/2019;6,6;16,1
Campo di Carne;19/03/2019;3,9;15,9
Campo di Carne;20/03/2019;2,9;17,8
Campo di Carne;21/03/2019;3,8;23,3
Campo di Carne;22/03/2019;5,8;22
Campo di Carne;23/03/2019;4,2;19,7
Campo di Carne;24/03/2019;4;21,1
Campo di Carne;25/03/2019;4,3;18,6
Campo di Carne;26/03/2019;6,1;19,4
Campo di Carne;27/03/2019;7,3;17,6
Campo di Carne;28/03/2019;3,1;17,5
Campo di Carne;29/03/2019;1,6;18,8
Campo di Carne;30/03/2019;2,2;18,2
Campo di Carne;31/03/2019;2,2;19,7
Campodimele;01/03/2019;5,5;10,7
Campodimele;02/03/2019;6,6;14,6
Campodimele;03/03/2019;6,3;15,1
Campodimele;04/03/2019;6,8;13,3
Campodimele;05/03/2019;6,9;12,2
Campodimele;06/03/2019;5,1;14,9
Campodimele;07/03/2019;8,5;15,1
Campodimele;08/03/2019;7,7;15,9
Campodimele;09/03/2019;7,6;14,3
Campodimele;10/03/2019;6,8;9,2
Campodimele;11/03/2019;3,6;12,4
Campodimele;12/03/2019;2,1;9,3
Campodimele;13/03/2019;2,7;11,8
Campodimele;14/03/2019;3,8;11,6
Campodimele;15/03/2019;5,8;14,3
Campodimele;16/03/2019;7,1;12
Campodimele;17/03/2019;5,8;12,8
Campodimele;18/03/2019;5,8;13,4
Campodimele;19/03/2019;4,1;13,5
Campodimele;20/03/2019;6;10,3
Campodimele;21/03/2019;7;16,3
Campodimele;22/03/2019;9,9;17,9
Campodimele;23/03/2019;9,9;19,1
Campodimele;24/03/2019;10,6;18,7
Campodimele;25/03/2019;7,8;15,3
Campodimele;26/03/2019;5,8;11,9
Campodimele;27/03/2019;5,7;11,7
Campodimele;28/03/2019;5,3;14,6
Campodimele;29/03/2019;6,6;15,1
Campodimele;30/03/2019;6,4;16,1
Campodimele;31/03/2019;8,1;16,4
Campoli Appennino;01/03/2019;4,3;12,8
Campoli Appennino;02/03/2019;6,4;14,8
Campoli Appennino;03/03/2019;7;15,6
Campoli Appennino;04/03/2019;6,3;14,5
Campoli Appennino;05/03/2019;7,5;12,2
Campoli Appennino;06/03/2019;5,4;15,7
Campoli Appennino;07/03/2019;8,2;17,6
Campoli Appennino;08/03/2019;8,6;15,9
Campoli Appennino;09/03/2019;7,9;16,2
Campoli Appennino;10/03/2019;6,2;13,1
Campoli Appennino;11/03/2019;4,5;13,2
Campoli Appennino;12/03/2019;0,9;8,9
Campoli Appennino;13/03/2019;1,3;12,4
Campoli Appennino;14/03/2019;4,7;11,8
Campoli Appennino;15/03/2019;4,3;15,5
Campoli Appennino;16/03/2019;6,3;13,6
Campoli Appennino;17/03/2019;7;16,4
Campoli Appennino;18/03/2019;5,6;15,2
Campoli Appennino;19/03/2019;3,8;14,2
Campoli Appennino;20/03/2019;6,5;11,4
Campoli Appennino;21/03/2019;6,4;18,2
Campoli Appennino;22/03/2019;9,1;19
